Name,Phenylalanine,Protein,Carbohydrates,Total_fat,Calories,Home_measure,Home_phenylalanine,Home_weight,Category,Color
Mangai,17,0.6,16.5,0.5,70,1 vnt.,23,135,Vaisiai,Geltona
Melionai,23,0.7,7.7,0.1,32,1 skiltelė,9,40,Vaisiai,Geltona
Mėlynės,22,0.6,7,0.6,42,Stiklinė,33,150,Vaisiai,Geltona
Nektarinai,26,0.9,11.7,0.4,49,1 vnt.,21,80,Vaisiai,Geltona
Obuoliai,12,0.4,13.0,0.4,53,1 vnt.,10,80,Vaisiai,Geltona
Persikai,19,0.8,12.1,0.8,47,1 vnt.,15,80,Vaisiai,Geltona
Persimonai,26,0.5,18.5,0.1,70,1 vnt.,52,140,Vaisiai,Geltona
Slyvos,18,0.7,14.6,0.2,57,1 vnt.,4,20,Vaisiai,Geltona
Spanguolės,36,0.4,9.9,0.7,43,Stiklinė,72,200,Vaisiai,Geltona
Juodieji serbentai,34,1.2,17.2,0.3,52,Kekė,5,15,Vaisiai,Geltona
Baltieji serbentai,25,0.7,13.8,0.2,37,Kekė,4,15,Vaisiai,Geltona
Raudonieji serbentai,29,1.1,12.8,0.3,38,Kekė,4,15,Vaisiai,Geltona
Trešnės,21,0.9,14.4,0.4,60,Stiklinė,36,170,Vaisiai,Geltona
Vynuogės,13,0.7,17.6,0.4,69,Maža kekė,26,200,Vaisiai,Geltona
Vyšnios,19,1.0,12.2,0.6,51,Stiklinė,32,170,Vaisiai,Geltona
Žemuogės,24,0.8,6.3,0.4,35,Stiklinė,26,60,Vaisiai,Geltona
Dž. abrikosai,195,5.3,50,1,249,2 vnt.,20,25,Vaisiai,Raudona
Dž. bananai,145,3.5,61,0.6,281,5 vnt.,15,28,Vaisiai,Raudona
Dž. datulės,57,2,66,0,285,3 vnt.,5.7,29,Vaisiai,Geltona
Dž. figos,120,3.5,55.1,1.3,250,2 vnt.,12,25,Vaisiai,Raudona
Dž. obuoliai,39,1.4,57,1.6,255,6 vnt.,3.9,26,Vaisiai,Geltona
Razinos,47,2.5,64,0.6,277,8 vnt.,4.7,28,Vaisiai,Geltona
Dž. slyvos,72,3.3,56.5,1.1,261,2 vnt.,7.2,26,Vaisiai,Geltona
Apelsinų sultys,26,0.6,9.9,0.1,43,Stiklinė,62,240,Vaisiai,Geltona
Juodųjų serbentų sultys,8,0.3,12.7,0.1,53,Stiklinė,19,240,Vaisiai,Geltona
